init_node	term_node	capacity	length	free_flow_time	b	power	speed	toll	link_type	volume	cost	travel_time	generalized cost
1	10293	100000	0.45	0	0.15	4	25	0	3	1380.42	0.1125	0	0.45
2	10294	100000	0.5	0	0.15	4	25	0	3	1271.61	0.125	0	0.5
3	10295	100000	0.39	0	0.15	4	25	0	3	154.18	0.0975	0	0.39
4	10296	100000	0.58	0	0.15	4	25	0	3	1223.55	0.145	0	0.58
5	10297	100000	0.5	0	0.15	4	25	0	3	353.92	0.125	0	0.5
6	10298	100000	0.58	0	0.15	4	25	0	3	732.01	0.145	0	0.58
7	10299	100000	0.45	0	0.15	4	25	0	3	570.54	0.1125	0	0.45
8	10300	100000	0.5	0	0.15	4	25	0	3	161.22	0.125	0	0.5
9	10301	100000	0.44	0	0.15	4	25	0	3	689.51	0.11	0	0.44
10	10302	100000	0.5	0	0.15	4	25	0	3	209.47	0.125	0	0.5
11	10303	100000	0.45	0	0.15	4	25	0	3	195.67	0.1125	0	0.45
12	10304	100000	0.5	0	0.15	4	25	0	3	210.27	0.125	0	0.5
13	10305	100000	0.44	0	0.15	4	25	0	3	106.56	0.11	0	0.44
14	10306	100000	0.5	0	0.15	4	25	0	3	428.57	0.125	0	0.5
15	10307	100000	0.44	0	0.15	4	25	0	3	111.86	0.11	0	0.44
16	10308	100000	0.51	0	0.15	4	25	0	3	198.84	0.1275	0	0.51
17	10309	100000	0.44	0	0.15	4	25	0	3	0.03	0.11	0	0.44
18	10310	100000	0.51	0	0.15	4	25	0	3	540.23	0.1275	0	0.51
19	10311	100000	0.43	0	0.15	4	25	0	3	446.66	0.1075	0	0.43
20	10312	100000	0.5	0	0.15	4	25	0	3	141.04	0.125	0	0.5
21	10313	100000	0.43	0	0.15	4	25	0	3	563.11	0.1075	0	0.43
22	10314	100000	0.5	0	0.15	4	25	0	3	1593.46	0.125	0	0.5
23	10315	100000	0.43	0	0.15	4	25	0	3	440.25	0.1075	0	0.43
24	10316	100000	0.5	0	0.15	4	25	0	3	534.23	0.125	0	0.5
25	10317	100000	0.43	0	0.15	4	25	0	3	493.92	0.1075	0	0.43
26	10318	100000	0.5	0	0.15	4	25	0	3	692.28	0.125	0	0.5
27	10319	100000	0.43	0	0.15	4	25	0	3	507.37	0.1075	0	0.43
28	10320	100000	0.93	0	0.15	4	25	0	3	976.86	0.2325	0	0.93
29	10321	100000	0.93	0	0.15	4	25	0	3	429.62	0.2325	0	0.93
30	10322	100000	0.92	0	0.15	4	25	0	3	243.97	0.23	0	0.92
31	10323	100000	0.39	0	0.15	4	25	0	3	363.3	0.0975	0	0.39
32	10324	100000	0.49	0	0.15	4	25	0	3	1990.47	0.1225	0	0.49
33	10325	100000	0.54	0	0.15	4	25	0	3	1619.63	0.135	0	0.54
34	10326	100000	0.5	0	0.15	4	25	0	3	2193.06	0.125	0	0.5
35	10327	100000	0.3	0	0.15	4	25	0	3	923.53	0.075	0	0.3
36	10328	100000	0.5	0	0.15	4	25	0	3	2128.05	0.125	0	0.5
37	10329	100000	0.42	0	0.15	4	25	0	3	2438.97	0.105	0	0.42
38	10330	100000	0.5	0	0.15	4	25	0	3	1566.86	0.125	0	0.5
39	10331	100000	0.48	0	0.15	4	25	0	3	4524.87	0.12	0	0.48
40	10332	100000	0.5	0	0.15	4	25	0	3	1914.75	0.125	0	0.5
41	10333	100000	0.55	0	0.15	4	25	0	3	3974.05	0.1375	0	0.55
42	10334	100000	0.5	0	0.15	4	25	0	3	2321.34	0.125	0	0.5
43	10335	100000	0.5	0	0.15	4	25	0	3	3322.34	0.125	0	0.5
44	10336	100000	0.41	0	0.15	4	25	0	3	779.17	0.1025	0	0.41
45	10337	100000	0.5	0	0.15	4	25	0	3	2540.96	0.125	0	0.5
46	10338	100000	0.5	0	0.15	4	25	0	3	3831.61	0.125	0	0.5
47	10339	100000	0.43	0	0.15	4	25	0	3	4205.77	0.1075	0	0.43
48	10340	100000	0.5	0	0.15	4	25	0	3	2153.96	0.125	0	0.5
49	10341	100000	0.5	0	0.15	4	25	0	3	3603.1	0.125	0	0.5
50	10342	100000	0.5	0	0.15	4	25	0	3	4770.6	0.125	0	0.5
51	10343	100000	0.5	0	0.15	4	25	0	3	1880.99	0.125	0	0.5
52	10344	100000	0.5	0	0.15	4	25	0	3	2315.65	0.125	0	0.5
53	10345	100000	0.52	0	0.15	4	25	0	3	3222.06	0.13	0	0.52
54	4051	100000	0.12	0	0.15	4	25	0	3	513.52	0.03	0	0.12
55	2447	100000	0.12	0	0.15	4	25	0	3	653.42	0.03	0	0.12
56	4053	100000	0.12	0	0.15	4	25	0	3	537.25	0.03	0	0.12
57	4056	100000	0.12	0	0.15	4	25	0	3	321.57	0.03	0	0.12
58	4065	100000	0.13	0	0.15	4	25	0	3	935.98	0.0325	0	0.13
59	2462	100000	0.13	0	0.15	4	25	0	3	624.75	0.0325	0	0.13
60	4100	100000	0.3	0	0.15	4	25	0	3	572.97	0.075	0	0.3
61	10352	100000	0.13	0	0.15	4	25	0	3	165.87	0.0325	0	0.13
62	7517	100000	0.13	0	0.15	4	25	0	3	173.68	0.0325	0	0.13
63	9339	100000	0.13	0	0.15	4	25	0	3	489.1	0.0325	0	0.13
64	10353	100000	0.13	0	0.15	4	25	0	3	339.92	0.0325	0	0.13
65	10354	100000	0.15	0	0.15	4	25	0	3	1219.66	0.0375	0	0.15
66	9912	100000	0.15	0	0.15	4	25	0	3	891.34	0.0375	0	0.15
67	4726	100000	0.12	0	0.15	4	25	0	3	105.36	0.03	0	0.12
68	9340	100000	0.12	0	0.15	4	25	0	3	130.77	0.03	0	0.12
69	2547	100000	0.12	0	0.15	4	25	0	3	634.04	0.03	0	0.12
70	2548	100000	0.12	0	0.15	4	25	0	3	619.68	0.03	0	0.12
71	10357	100000	0.13	0	0.15	4	25	0	3	1261.43	0.0325	0	0.13
72	9918	100000	0.16	0	0.15	4	25	0	3	450.96	0.04	0	0.16
73	10355	100000	0.13	0	0.15	4	25	0	3	208.76	0.0325	0	0.13
74	2645	100000	0.13	0	0.15	4	25	0	3	862.11	0.0325	0	0.13
75	2683	100000	0.13	0	0.15	4	25	0	3	2041.33	0.0325	0	0.13
76	2702	100000	0.13	0	0.15	4	25	0	3	1117.61	0.0325	0	0.13
77	4363	100000	0.14	0	0.15	4	25	0	3	1081.31	0.035	0	0.14
78	2485	100000	0.16	0	0.15	4	25	0	3	761.35	0.04	0	0.16
79	4738	100000	0.12	0	0.15	4	25	0	3	269.23	0.03	0	0.12
80	2650	100000	0.12	0	0.15	4	25	0	3	630.22	0.03	0	0.12
81	4414	100000	0.12	0	0.15	4	25	0	3	2490.86	0.03	0	0.12
82	10361	100000	0.12	0	0.15	4	25	0	3	2209.2	0.03	0	0.12
83	10362	100000	0.13	0	0.15	4	25	0	3	755.14	0.0325	0	0.13
